1000	-0.254	0.241	-0.681	-0.171	0.295
1001	-0.288	0.205	-0.692	-0.198	0.214
1002	-0.312	0.171	-0.706	-0.219	0.144
1003	-0.327	0.129	-0.729	-0.238	0.073
1004	-0.332	0.1	-0.765	-0.216	0.064
1005	-0.326	0.105	-0.803	-0.185	0.097
1006	-0.32	0.123	-0.824	-0.176	0.107
1007	-0.316	0.141	-0.818	-0.186	0.077
1008	-0.305	0.177	-0.8	-0.213	0.048
1009	-0.284	0.228	-0.756	-0.255	0.032
1010	-0.256	0.267	-0.694	-0.29	0.041
1011	-0.215	0.294	-0.64	-0.297	0.1
1012	-0.179	0.308	-0.595	-0.269	0.172
1013	-0.158	0.31	-0.574	-0.214	0.216
1014	-0.14	0.324	-0.587	-0.143	0.256
1015	-0.125	0.365	-0.616	-0.093	0.284
1016	-0.104	0.401	-0.618	-0.089	0.307
1017	-0.078	0.404	-0.602	-0.077	0.37
1018	-0.056	0.397	-0.588	-0.021	0.446
1019	-0.044	0.402	-0.568	0.052	0.489
1020	-0.035	0.418	-0.552	0.101	0.492
1021	-0.026	0.456	-0.528	0.117	0.458
1022	-0.02	0.516	-0.491	0.07	0.43
1023	-0.016	0.556	-0.47	-0.013	0.436
1024	-0.02	0.56	-0.479	-0.025	0.471
1025	-0.03	0.552	-0.493	0.04	0.507
1026	-0.032	0.535	-0.494	0.108	0.508
1027	-0.021	0.506	-0.476	0.144	0.473
1028	-0.007	0.485	-0.453	0.166	0.467
1029	-0.015	0.456	-0.459	0.117	0.476
1030	-0.047	0.403	-0.479	0.003	0.446
1031	-0.083	0.345	-0.495	-0.065	0.424
1032	-0.111	0.31	-0.531	-0.066	0.413
1033	-0.14	0.299	-0.591	-0.037	0.391
1034	-0.178	0.291	-0.66	-0.01	0.394
1035	-0.222	0.274	-0.737	-0.021	0.408
1036	-0.265	0.235	-0.78	-0.096	0.384
1037	-0.286	0.181	-0.764	-0.176	0.352
1038	-0.285	0.153	-0.73	-0.197	0.33
1039	-0.278	0.15	-0.71	-0.188	0.285
1040	-0.272	0.149	-0.694	-0.184	0.222
1041	-0.261	0.167	-0.69	-0.182	0.169
1042	-0.238	0.194	-0.695	-0.178	0.142
1043	-0.215	0.216	-0.693	-0.186	0.129
1044	-0.223	0.224	-0.721	-0.218	0.107
1045	-0.261	0.204	-0.768	-0.267	0.071
1046	-0.296	0.175	-0.783	-0.311	0.028
1047	-0.312	0.165	-0.769	-0.317	-0.002
1048	-0.301	0.176	-0.743	-0.282	0.014
1049	-0.271	0.198	-0.721	-0.236	0.08
1050	-0.254	0.207	-0.738	-0.197	0.152
1051	-0.268	0.186	-0.778	-0.192	0.193
1052	-0.286	0.166	-0.78	-0.213	0.191
1053	-0.294	0.162	-0.736	-0.239	0.149
1054	-0.29	0.167	-0.674	-0.242	0.115
1055	-0.273	0.193	-0.629	-0.208	0.13
1056	-0.248	0.22	-0.625	-0.167	0.191
1057	-0.227	0.224	-0.654	-0.158	0.224
1058	-0.222	0.211	-0.702	-0.185	0.199
1059	-0.223	0.205	-0.746	-0.207	0.2
1060	-0.236	0.202	-0.767	-0.209	0.251
1061	-0.264	0.204	-0.763	-0.197	0.291
1062	-0.294	0.202	-0.753	-0.205	0.274
1063	-0.327	0.162	-0.749	-0.254	0.194
